停留所,発時刻,着時刻
バスタ新宿,6:00,7:00
バスタ新宿,6:30,7:23
バスタ新宿,6:50,7:43
バスタ新宿,7:20,8:20
バスタ新宿,7:50,8:43
バスタ新宿,8:20,9:25
バスタ新宿,8:50,9:48
バスタ新宿,9:30,10:35
バスタ新宿,10:20,11:18
バスタ新宿,10:50,11:55
バスタ新宿,11:20,12:18
バスタ新宿,11:50,12:55
バスタ新宿,12:20,13:25
バスタ新宿,12:50,13:48
バスタ新宿,13:20,14:25
バスタ新宿,13:50,14:48
バスタ新宿,14:50,15:55
バスタ新宿,15:50,16:55
バスタ新宿,16:20,17:18
バスタ新宿,16:50,17:48
バスタ新宿,17:20,18:25
バスタ新宿,18:10,19:08
バスタ新宿,18:40,19:45
バスタ新宿,19:10,20:15
バスタ新宿,19:40,20:45
バスタ新宿,20:10,21:15
バスタ新宿,20:40,21:33
バスタ新宿,21:10,22:10
バスタ新宿,21:40,22:33
バスタ新宿,22:00,23:00
バスタ新宿,22:30,23:30
バスタ新宿,23:10,23:58
