停留所,発時刻,着時刻
袖ケ浦バスターミナル,6:07,7:00
袖ケ浦バスターミナル,6:27,7:25
袖ケ浦バスターミナル,6:47,7:52
袖ケ浦バスターミナル,7:02,8:00
袖ケ浦バスターミナル,7:17,8:25
袖ケ浦バスターミナル,7:42,8:45
袖ケ浦バスターミナル,8:07,9:10
袖ケ浦バスターミナル,8:27,9:35
袖ケ浦バスターミナル,8:47,9:50
袖ケ浦バスターミナル,9:27,10:32
袖ケ浦バスターミナル,9:57,10:55
袖ケ浦バスターミナル,10:27,11:32
袖ケ浦バスターミナル,10:47,11:45
袖ケ浦バスターミナル,11:07,12:05
袖ケ浦バスターミナル,11:27,12:27
袖ケ浦バスターミナル,12:37,13:42
袖ケ浦バスターミナル,12:57,13:50
袖ケ浦バスターミナル,13:27,14:27
袖ケ浦バスターミナル,13:57,14:50
袖ケ浦バスターミナル,14:27,15:32
袖ケ浦バスターミナル,15:27,16:32
袖ケ浦バスターミナル,15:57,16:55
袖ケ浦バスターミナル,16:27,17:37
袖ケ浦バスターミナル,17:27,18:37
袖ケ浦バスターミナル,18:27,19:33
袖ケ浦バスターミナル,18:57,20:02
袖ケ浦バスターミナル,19:27,20:25
袖ケ浦バスターミナル,19:57,21:03
袖ケ浦バスターミナル,20:57,21:50
袖ケ浦バスターミナル,21:27,22:20
袖ケ浦バスターミナル,21:57,22:50
袖ケ浦バスターミナル,22:27,23:15
